EmployeeID,Name,Age,Department,JobRole,EducationLevel,City,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Overtime,PerformanceScore,TrainingHours,ProjectsCompleted,Attrition,PerformanceTarget,PromotionSuitable,TrainingNeed,EmployeeRiskScore
EMP1001,Employee_1001,52,Sales,Manager,Bachelor,Delhi,101888.0,6.6,3,2,No,4.19,25.4,5,0,4.15,1,0,16.6
EMP1002,Employee_1002,47,Marketing,Specialist,Master,Haldwani,29324.0,10.3,1,5,No,5.0,27.8,4,0,4.93,1,0,18.0
EMP1003,Employee_1003,58,Finance,Specialist,Master,Lucknow,53549.0,11.8,2,5,No,5.0,25.9,4,0,5.0,1,0,17.75
EMP1004,Employee_1004,59,HR,Executive,Master,Haldwani,26124.0,11.8,2,3,No,5.0,61.4,4,0,5.0,1,0,25.44
EMP1005,Employee_1005,49,HR,Specialist,PhD,Noida,34893.0,1.0,5,1,Yes,4.83,5.0,5,0,5.0,0,0,26.26
EMP1006,Employee_1006,35,Operations,Manager,Master,Lucknow,38138.0,3.7,5,5,Yes,5.0,24.6,4,0,4.96,1,0,6.9
EMP1007,Employee_1007,44,Sales,Analyst,Master,Noida,28743.0,7.2,1,5,No,4.55,29.9,1,0,4.46,1,0,9.75
EMP1008,Employee_1008,38,Marketing,Manager,Bachelor,Lucknow,28858.0,15.8,4,3,No,5.0,19.1,7,0,5.0,1,0,0.0
EMP1009,Employee_1009,46,IT,Coordinator,Master,Noida,48826.0,11.4,4,3,No,5.0,42.6,7,0,5.0,1,0,0.0
EMP1010,Employee_1010,53,Sales,Coordinator,Bachelor,Delhi,25232.0,9.9,2,2,No,4.09,41.4,4,0,4.37,1,0,30.47
EMP1011,Employee_1011,35,Finance,Coordinator,Master,Haldwani,70527.0,3.6,3,1,Yes,4.6,29.3,4,0,4.75,1,0,36.26
EMP1012,Employee_1012,41,Operations,Developer,Master,Delhi,31809.0,1.5,4,5,No,5.0,26.2,7,0,4.85,1,0,7.7
EMP1013,Employee_1013,22,Marketing,Specialist,PhD,Jaipur,113811.0,8.5,2,3,Yes,5.0,28.4,6,0,4.92,1,0,32.52
EMP1014,Employee_1014,50,Marketing,Developer,PhD,Haldwani,42070.0,0.6,1,2,No,3.9,28.5,4,1,3.75,0,0,75.71
EMP1015,Employee_1015,40,Marketing,Specialist,Bachelor,Noida,53584.0,4.2,2,4,No,4.57,28.9,6,0,5.0,1,0,13.22
EMP1016,Employee_1016,39,Marketing,Manager,Master,Noida,23502.0,4.7,2,1,Yes,5.0,27.4,10,1,5.0,1,0,71.84
EMP1017,Employee_1017,42,Finance,Analyst,Master,Haldwani,89534.0,11.9,2,1,Yes,3.41,33.5,1,0,3.34,1,0,50.27
EMP1018,Employee_1018,29,Sales,Analyst,Bachelor,Dehradun,76629.0,3.7,2,2,No,4.36,40.5,10,0,4.53,1,0,20.81
EMP1019,Employee_1019,44,Operations,Executive,Bachelor,Dehradun,58532.0,0.2,1,3,Yes,5.0,12.8,3,1,4.89,0,1,61.22
EMP1020,Employee_1020,50,HR,Executive,Bachelor,Noida,22370.0,7.3,5,2,Yes,5.0,15.3,7,0,4.94,1,0,32.6
EMP1021,Employee_1021,34,Finance,Developer,Master,Dehradun,56635.0,2.3,1,1,No,2.37,5.5,3,1,2.55,0,1,84.49
EMP1022,Employee_1022,26,HR,Developer,Bachelor,Lucknow,27329.0,5.4,4,2,No,4.85,42.1,5,0,5.0,1,0,14.05
EMP1023,Employee_1023,36,IT,Executive,PhD,Delhi,84172.0,4.8,4,2,No,5.0,33.5,3,0,5.0,1,0,9.1
EMP1024,Employee_1024,28,Operations,Developer,Bachelor,Lucknow,69802.0,4.1,4,3,Yes,5.0,37.1,9,0,5.0,1,0,14.95
EMP1025,Employee_1025,35,Marketing,Manager,PhD,Noida,54100.0,8.5,5,3,No,5.0,10.0,8,0,5.0,1,0,5.02
EMP1026,Employee_1026,46,Finance,Analyst,Bachelor,Haldwani,18000.0,0.2,1,5,Yes,3.94,55.0,4,0,4.39,0,0,30.1
EMP1027,Employee_1027,25,HR,Developer,Master,Delhi,30365.0,3.0,2,5,Yes,4.6,21.5,8,0,4.7,1,0,25.85
EMP1028,Employee_1028,50,Marketing,Developer,Bachelor,Noida,67131.0,8.1,1,2,No,4.55,32.4,7,1,4.93,1,0,58.76
EMP1029,Employee_1029,29,Finance,Manager,Master,Lucknow,78683.0,2.6,3,5,Yes,5.0,42.0,5,0,5.0,1,0,10.95
EMP1030,Employee_1030,56,HR,Developer,Master,Dehradun,76402.0,0.2,4,3,No,5.0,16.2,6,0,5.0,1,0,1.96
EMP1031,Employee_1031,50,HR,Specialist,PhD,Delhi,18000.0,8.0,5,1,Yes,5.0,22.4,5,1,5.0,1,0,66.72
EMP1032,Employee_1032,31,IT,Analyst,Master,Haldwani,58634.0,9.9,2,2,Yes,3.86,32.5,4,0,4.12,1,0,41.0
EMP1033,Employee_1033,43,Sales,Developer,Bachelor,Delhi,74341.0,5.0,2,4,No,3.97,70.0,3,0,4.33,1,0,3.95
EMP1034,Employee_1034,25,Finance,Developer,Bachelor,Dehradun,18000.0,0.2,5,5,No,5.0,34.2,5,0,5.0,1,0,2.1
EMP1035,Employee_1035,24,Operations,Analyst,Bachelor,Noida,51826.0,8.2,4,2,Yes,4.41,52.5,8,1,4.38,1,0,60.51
EMP1036,Employee_1036,59,Sales,Specialist,Bachelor,Haldwani,58025.0,0.2,4,1,Yes,4.31,46.9,3,0,5.0,0,0,33.45
EMP1037,Employee_1037,53,Operations,Analyst,Master,Haldwani,45383.0,6.5,3,1,No,4.83,35.2,6,1,5.0,1,0,46.22
EMP1038,Employee_1038,27,Marketing,Analyst,Master,Lucknow,18000.0,1.5,3,1,No,3.42,16.2,5,1,3.21,0,0,45.06
EMP1039,Employee_1039,32,IT,Specialist,Master,Jaipur,44835.0,0.3,2,4,No,3.81,44.8,4,0,3.86,0,0,15.77
EMP1040,Employee_1040,28,Finance,Coordinator,Master,Delhi,44799.0,3.3,4,3,Yes,5.0,9.0,10,0,4.77,1,0,26.79
EMP1041,Employee_1041,36,Sales,Specialist,Master,Noida,48742.0,4.4,2,3,No,4.95,52.4,7,1,5.0,1,0,53.75
EMP1042,Employee_1042,32,Marketing,Coordinator,Master,Delhi,39604.0,2.5,5,4,Yes,5.0,32.8,2,0,4.9,1,0,15.68
EMP1043,Employee_1043,34,Marketing,Coordinator,Bachelor,Delhi,42254.0,7.7,1,5,Yes,5.0,5.0,5,0,5.0,1,1,31.79
EMP1044,Employee_1044,42,HR,Developer,Bachelor,Dehradun,51126.0,3.3,3,4,No,5.0,25.2,6,0,5.0,1,0,0.0
EMP1045,Employee_1045,28,Sales,Specialist,Master,Haldwani,61734.0,9.3,2,1,No,3.97,39.2,4,0,4.02,1,0,24.39
EMP1046,Employee_1046,56,Operations,Analyst,Master,Jaipur,45303.0,6.4,4,3,No,4.71,26.7,7,0,4.85,1,0,0.0
EMP1047,Employee_1047,50,HR,Developer,Bachelor,Lucknow,42988.0,2.3,4,5,No,5.0,40.0,7,0,4.94,1,0,8.65
EMP1048,Employee_1048,51,Operations,Manager,Bachelor,Haldwani,54032.0,1.6,5,4,Yes,5.0,18.1,5,0,5.0,1,0,22.64
EMP1049,Employee_1049,27,Marketing,Coordinator,Master,Lucknow,18000.0,0.2,4,2,No,4.95,11.7,2,0,5.0,0,1,16.96
EMP1050,Employee_1050,49,Marketing,Coordinator,Bachelor,Dehradun,62495.0,6.4,2,2,No,3.04,29.0,9,0,3.49,1,0,30.68
EMP1051,Employee_1051,54,Marketing,Developer,Bachelor,Jaipur,51988.0,3.7,2,5,No,4.5,30.4,11,0,4.72,1,0,7.24
EMP1052,Employee_1052,28,IT,Manager,Master,Jaipur,52873.0,0.2,5,1,No,5.0,25.1,7,0,5.0,1,0,13.9
EMP1053,Employee_1053,51,HR,Analyst,Master,Delhi,73136.0,2.9,3,3,No,4.89,47.2,6,0,5.0,1,0,8.96
EMP1054,Employee_1054,35,HR,Specialist,Bachelor,Noida,18000.0,1.4,1,1,Yes,2.52,18.1,2,1,2.65,0,1,100.0
EMP1055,Employee_1055,52,HR,Manager,Master,Lucknow,18000.0,11.8,5,5,Yes,5.0,34.4,7,0,5.0,1,0,12.18
EMP1056,Employee_1056,40,Sales,Manager,Bachelor,Noida,58024.0,0.2,4,1,No,4.45,31.0,8,1,4.83,1,0,41.21
EMP1057,Employee_1057,53,Finance,Specialist,Master,Jaipur,51843.0,0.2,1,1,Yes,3.69,8.2,4,1,3.54,0,1,86.9
EMP1058,Employee_1058,26,Sales,Manager,Bachelor,Jaipur,55744.0,9.9,4,2,No,5.0,11.5,13,0,5.0,1,0,14.65
EMP1059,Employee_1059,36,Marketing,Executive,Master,Noida,41833.0,10.9,4,2,No,5.0,30.2,8,0,5.0,1,0,6.22
EMP1060,Employee_1060,31,Marketing,Analyst,Bachelor,Delhi,66616.0,2.1,4,3,Yes,4.61,57.7,8,0,4.67,1,0,10.38
EMP1061,Employee_1061,30,Operations,Analyst,Bachelor,Noida,72518.0,2.5,5,2,Yes,5.0,38.1,7,0,5.0,1,0,23.61
EMP1062,Employee_1062,33,Marketing,Specialist,Master,Dehradun,62648.0,7.8,3,2,No,5.0,5.8,5,0,5.0,1,0,14.34
EMP1063,Employee_1063,36,HR,Executive,Bachelor,Noida,46262.0,0.2,3,3,No,5.0,5.0,5,0,4.64,0,0,1.04
